Engine Size(L),Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Automated Manual,Automatic,Automatic with Select Shift,Continuously Variable,Manual,Diesel,Ethanol(E85),Premium Gasoline,Regular Gasoline
2.0,4,9.9,6.7,33,196,0,0,1,0,0,0,0,1,0
2.4,4,11.2,7.7,29,221,0,0,0,0,1,0,0,1,0
1.5,4,6.0,5.8,48,136,0,0,0,1,0,0,0,1,0
3.5,6,12.7,9.1,25,255,0,0,1,0,0,0,0,1,0
3.5,6,12.1,8.7,27,244,0,0,1,0,0,0,0,1,0
3.5,6,11.9,7.7,28,230,0,0,1,0,0,0,0,1,0
3.5,6,11.8,8.1,28,232,0,0,1,0,0,0,0,1,0
3.7,6,12.8,9.0,25,255,0,0,1,0,0,0,0,1,0
3.7,6,13.4,9.5,24,267,0,0,0,0,1,0,0,1,0
2.4,4,10.6,7.5,31,212,0,0,1,0,0,0,0,1,0
2.4,4,11.2,8.1,29,225,0,0,0,0,1,0,0,1,0
3.5,6,12.1,8.3,27,239,0,0,1,0,0,0,0,1,0
1.8,4,9.7,6.9,34,193,1,0,0,0,0,0,0,1,0
5.9,12,18.0,12.6,18,359,0,1,0,0,0,0,0,1,0
5.9,12,18.0,12.6,18,359,0,1,0,0,0,0,0,1,0
4.7,8,17.4,11.3,19,338,1,0,0,0,0,0,0,1,0
4.7,8,18.1,12.2,18,354,0,0,0,0,1,0,0,1,0
4.7,8,17.4,11.3,19,338,1,0,0,0,0,0,0,1,0
4.7,8,18.1,12.2,18,354,0,0,0,0,1,0,0,1,0
5.9,12,18.0,12.6,18,359,0,1,0,0,0,0,0,1,0
2.0,4,9.9,7.4,32,202,0,0,0,1,0,0,0,1,0
2.0,4,11.5,8.1,28,230,0,0,1,0,0,0,0,1,0
2.0,4,10.8,7.5,30,214,0,0,0,0,1,0,0,1,0
2.0,4,11.5,8.1,28,230,0,0,1,0,0,0,0,1,0
2.0,4,11.5,8.1,28,230,0,0,1,0,0,0,0,1,0
2.0,4,10.8,7.5,30,214,0,0,0,0,1,0,0,1,0
2.0,4,12.0,8.1,28,235,0,0,1,0,0,0,0,1,0
3.0,6,12.8,8.6,26,251,0,0,1,0,0,0,0,1,0
3.0,6,9.8,6.2,35,217,0,0,1,0,0,1,0,0,0
3.0,6,13.3,8.5,25,262,0,0,1,0,0,0,0,1,0
3.0,6,9.8,6.2,35,217,0,0,1,0,0,1,0,0,0
3.0,6,13.1,8.8,25,258,0,0,1,0,0,0,0,1,0
4.0,8,13.7,8.3,25,265,0,0,1,0,0,0,0,1,0
3.0,6,9.8,6.5,34,224,0,0,1,0,0,1,0,0,0
3.0,6,13.1,8.8,25,258,0,0,1,0,0,0,0,1,0
4.0,8,14.7,9.7,23,288,0,0,1,0,0,0,0,1,0
6.3,12,18.7,11.5,18,363,0,0,1,0,0,0,0,1,0
3.0,6,9.8,6.5,34,224,0,0,1,0,0,1,0,0,0
2.0,4,11.8,8.8,27,242,0,0,1,0,0,0,0,1,0
2.0,4,12.0,8.5,27,239,0,0,1,0,0,0,0,1,0
3.0,6,12.9,9.2,25,258,0,0,1,0,0,0,0,1,0
3.0,6,10.2,7.8,31,244,0,0,1,0,0,1,0,0,0
2.0,4,9.9,8.3,31,212,0,0,1,0,0,0,0,1,0
3.0,6,15.1,10.9,21,304,0,0,1,0,0,0,0,1,0
3.0,6,12.4,8.7,26,290,0,0,1,0,0,1,0,0,0
4.2,8,17.6,11.0,19,336,0,1,0,0,0,0,0,1,0
4.2,8,21.2,13.4,16,407,0,0,0,0,1,0,0,1,0
5.2,10,18.2,10.6,19,347,0,1,0,0,0,0,0,1,0
5.2,10,21.1,13.8,16,409,0,0,0,0,1,0,0,1,0
4.2,8,17.6,11.0,19,336,0,1,0,0,0,0,0,1,0
4.2,8,21.2,13.4,16,407,0,0,0,0,1,0,0,1,0
5.2,10,18.2,10.6,19,347,0,1,0,0,0,0,0,1,0
5.2,10,21.1,13.8,16,409,0,0,0,0,1,0,0,1,0
4.2,8,15.3,10.9,21,306,0,1,0,0,0,0,0,1,0
4.2,8,15.2,11.3,21,308,0,1,0,0,0,0,0,1,0
4.0,8,15.5,8.8,23,293,0,0,1,0,0,0,0,1,0
3.0,6,13.2,9.2,25,262,0,1,0,0,0,0,0,1,0
3.0,6,14.6,9.8,23,285,0,0,0,0,1,0,0,1,0
3.0,6,13.2,9.2,25,262,0,1,0,0,0,0,0,1,0
3.0,6,14.6,9.8,23,285,0,0,0,0,1,0,0,1,0
3.0,6,13.3,9.5,24,267,0,1,0,0,0,0,0,1,0
4.0,8,14.2,9.7,23,281,0,1,0,0,0,0,0,1,0
4.0,8,14.2,9.7,23,281,0,1,0,0,0,0,0,1,0
4.0,8,15.8,9.2,22,300,0,0,1,0,0,0,0,1,0
3.0,6,14.9,10.1,22,292,0,0,1,0,0,0,0,1,0
2.0,4,10.4,7.6,31,209,0,1,0,0,0,0,0,1,0
2.0,4,10.4,7.6,31,209,0,1,0,0,0,0,0,1,0
2.0,4,11.5,8.8,27,237,0,1,0,0,0,0,0,1,0
2.0,4,11.5,8.8,27,237,0,1,0,0,0,0,0,1,0
4.0,8,16.3,9.8,21,314,0,0,1,0,0,0,0,1,0
6.0,12,18.8,11.5,18,356,0,0,1,0,0,0,0,1,0
4.0,8,17.4,10.2,20,332,0,0,1,0,0,0,0,1,0
6.0,12,20.0,12.2,17,380,0,0,1,0,0,0,0,1,0
6.0,12,20.0,12.2,17,380,0,0,1,0,0,0,0,1,0
6.0,12,20.3,11.9,17,388,0,0,1,0,0,0,0,1,0
6.8,8,22.3,14.9,15,437,0,0,1,0,0,0,0,1,0
2.0,4,10.0,6.5,34,193,0,1,0,0,0,0,0,1,0
2.0,4,10.4,6.7,32,200,0,0,0,0,1,0,0,1,0
2.0,4,10.2,7.0,32,202,0,1,0,0,0,0,0,1,0
2.0,4,7.6,5.5,42,181,0,1,0,0,0,1,0,0,0
2.0,4,7.6,5.5,42,181,0,1,0,0,0,1,0,0,0
2.0,4,10.0,6.5,34,193,0,1,0,0,0,0,0,1,0
2.0,4,10.4,6.7,32,200,0,0,0,0,1,0,0,1,0
2.0,4,10.6,7.2,31,209,0,1,0,0,0,0,0,1,0
2.0,4,10.6,7.2,31,209,0,1,0,0,0,0,0,1,0
2.0,4,10.6,7.2,31,209,0,1,0,0,0,0,0,1,0
3.0,6,11.4,7.3,29,221,0,1,0,0,0,0,0,1,0
3.0,6,11.8,7.9,28,230,0,0,0,0,1,0,0,1,0
3.0,6,11.7,7.8,29,228,0,1,0,0,0,0,0,1,0
3.0,6,11.9,8.3,27,237,0,0,0,0,1,0,0,1,0
3.0,6,11.9,8.0,28,232,0,1,0,0,0,0,0,1,0
2.0,4,10.0,6.5,34,193,0,1,0,0,0,0,0,1,0
2.0,4,10.4,6.7,32,200,0,0,0,0,1,0,0,1,0
2.0,4,10.6,7.2,31,209,0,1,0,0,0,0,0,1,0
3.0,6,11.4,7.3,29,221,0,1,0,0,0,0,0,1,0
3.0,6,11.8,7.9,28,230,0,0,0,0,1,0,0,1,0
3.0,6,11.7,7.8,29,228,0,1,0,0,0,0,0,1,0
3.0,6,11.9,8.3,27,237,0,0,0,0,1,0,0,1,0
2.0,4,10.2,7.0,32,202,0,1,0,0,0,0,0,1,0
2.0,4,10.6,7.2,31,209,0,1,0,0,0,0,0,1,0
3.0,6,9.2,6.4,36,213,0,1,0,0,0,1,0,0,0
3.0,6,11.9,8.0,28,232,0,1,0,0,0,0,0,1,0
3.0,6,12.5,8.6,26,246,0,1,0,0,0,0,0,1,0
4.4,8,14.4,9.6,23,281,0,1,0,0,0,0,0,1,0
4.4,8,15.0,9.8,22,292,0,1,0,0,0,0,0,1,0
